Date_Str    Date   Weight   Food    Exercise
06/12/22    163    WWWWW    CCCC    EEE
06/13/22    164    WWWWW    CCCC    EEE
06/14/22    165    WWWWW    CCCC    EEE
06/15/22    166    WWWWW    CCCC    EEE
06/16/22    167    WWWWW    CCCC    EEE
06/17/22    168    WWWWW    CCCC    EEE
06/18/22    169    WWWWW    CCCC    EEE
06/19/22    170    WWWWW    CCCC    EEE
06/20/22    171    WWWWW    CCCC    EEE
06/21/22    172    WWWWW    CCCC    EEE
06/22/22    173    WWWWW    CCCC    EEE
06/23/22    174    WWWWW    CCCC    EEE
06/24/22    175    WWWWW    CCCC    EEE
06/25/22    176    WWWWW    CCCC    EEE
06/26/22    177    WWWWW    CCCC    EEE
06/27/22    178    WWWWW    CCCC    EEE
06/28/22    179    WWWWW    CCCC    EEE
06/29/22    180    WWWWW    CCCC    EEE
06/30/22    181    WWWWW    CCCC    EEE
07/01/22    182    WWWWW    CCCC    EEE
07/02/22    183    WWWWW    CCCC    EEE
07/03/22    184    WWWWW    CCCC    EEE
07/04/22    185    WWWWW    CCCC    EEE
07/05/22    186    WWWWW    CCCC    EEE
07/06/22    187    WWWWW    CCCC    EEE
07/07/22    188    WWWWW    CCCC    EEE
07/08/22    189    WWWWW    CCCC    EEE
07/09/22    190    WWWWW    CCCC    EEE
07/10/22    191    WWWWW    CCCC    EEE
07/11/22    192    WWWWW    CCCC    EEE
07/12/22    193    WWWWW    CCCC    EEE
07/13/22    194    WWWWW    CCCC    EEE
07/14/22    195    WWWWW    CCCC    EEE
07/15/22    196    WWWWW    CCCC    EEE
07/16/22    197    WWWWW    CCCC    EEE
07/17/22    198    WWWWW    CCCC    EEE
07/18/22    199    WWWWW    CCCC    EEE
07/19/22    200    WWWWW    CCCC    EEE
07/20/22    201    WWWWW    CCCC    EEE
07/21/22    202    WWWWW    CCCC    EEE
07/22/22    203    WWWWW    CCCC    EEE
07/23/22    204    WWWWW    CCCC    EEE
07/24/22    205    WWWWW    CCCC    EEE
07/25/22    206    WWWWW    CCCC    EEE
07/26/22    207    WWWWW    CCCC    EEE
07/27/22    208    WWWWW    CCCC    EEE
07/28/22    209    WWWWW    CCCC    EEE
07/29/22    210    WWWWW    CCCC    EEE
07/30/22    211    WWWWW    CCCC    EEE
07/31/22    212    WWWWW    CCCC    EEE
08/01/22    213    WWWWW    CCCC    EEE
08/02/22    214    WWWWW    CCCC    EEE
08/03/22    215    WWWWW    CCCC    EEE
08/04/22    216    WWWWW    CCCC    EEE
08/05/22    217    WWWWW    CCCC    EEE
08/06/22    218    WWWWW    CCCC    EEE
08/07/22    219    WWWWW    CCCC    EEE
08/08/22    220    WWWWW    CCCC    EEE
08/09/22    221    WWWWW    CCCC    EEE
08/10/22    222    WWWWW    CCCC    EEE
08/11/22    223    WWWWW    CCCC    EEE
08/12/22    224    WWWWW    CCCC    EEE
08/13/22    225    WWWWW    CCCC    EEE
08/14/22    226    WWWWW    CCCC    EEE
08/15/22    227    WWWWW    CCCC    EEE
08/16/22    228    WWWWW    CCCC    EEE
08/17/22    229    WWWWW    CCCC    EEE
08/18/22    230    WWWWW    CCCC    EEE
08/19/22    231    WWWWW    CCCC    EEE
08/20/22    232    WWWWW    CCCC    EEE
08/21/22    233    WWWWW    CCCC    EEE
08/22/22    234    WWWWW    CCCC    EEE
08/23/22    235    WWWWW    CCCC    EEE
08/24/22    236    WWWWW    CCCC    EEE
08/25/22    237    WWWWW    CCCC    EEE
08/26/22    238    WWWWW    CCCC    EEE
08/27/22    239    WWWWW    CCCC    EEE
08/28/22    240    WWWWW    CCCC    EEE
08/29/22    241    WWWWW    CCCC    EEE
08/30/22    242    WWWWW    CCCC    EEE
08/31/22    243    WWWWW    CCCC    EEE
09/01/22    244    WWWWW    CCCC    EEE
09/02/22    245    WWWWW    CCCC    EEE
09/03/22    246    WWWWW    CCCC    EEE
